"id","created_time","type","availability","quality_percent","made","defected","proiz_vobez_raboti","planned","all_stopped_time","all_working_time","stop_not_planned","stop_planned","all_time"
60,"2020-07-20","SAW3","66.47","100",49,0,0,27918,"482.82",957,482,0,1440
61,"2020-07-21","SAW1","3.26","100",1861,0,0,138,"1393.02",46,1393,0,1440
62,"2020-07-21","SAW2","95.22","100",5467,0,0,18393,"68.83",1371,68,0,1440
63,"2020-07-21","SAW3","99.98","100",1087,0,0,41992,"0.27",1439,0,0,1440
64,"2020-07-22","SAW1","2.09","100",1210,0,0,88,"1409.83",30,1409,0,1440
65,"2020-07-22","SAW2","85.96","100",6289,0,0,12058,"275.82",1164,190,85,1440
66,"2020-07-22","SAW3","100","0",0,0,0,42000,"0",1440,0,0,1440
67,"2020-07-23","SAW1","0.06","99.66",1193,4,0,166,"1439.15",0,1439,0,1440
68,"2020-07-23","SAW2","97.68","99.94",6165,4,0,70180,"125.25",1314,31,94,1440
69,"2020-07-23","SAW3","99.99","100",4100,0,0,23093,"0.13",1439,0,0,1440
70,"2020-07-24","SAW1","0.1","97.34",1958,52,0,367,"1438.53",1,1438,0,1440
71,"2020-07-24","SAW2","79.74","95.11",6140,300,0,56220,"412.6",1027,261,151,1440
72,"2020-07-24","SAW3","100","100",800,0,0,10368,"0",1440,0,0,1440
73,"2020-07-25","SAW1","0","0",0,0,0,0,"1440",0,1440,0,1440
74,"2020-07-25","SAW2","89.07","98.4",7353,118,0,962000,"157.33",1282,157,0,1440
75,"2020-07-25","SAW3","100","92",75,6,0,10368,"0",1440,0,0,1440
76,"2020-07-26","SAW1","0","0",0,0,0,0,"1440",0,1440,0,1440
77,"2020-07-26","SAW2","86.14","97.5",4400,110,0,930288,"199.62",1240,199,0,1440
78,"2020-07-26","SAW3","100","0",0,0,0,10368,"0",1440,0,0,1440
79,"2020-07-27","SAW1","0.17","98.68",5072,67,0,621,"1437.52",2,1437,0,1440
80,"2020-07-27","SAW2","80.42","100",9544,0,0,868538,"281.95",1158,281,0,1440
81,"2020-07-27","SAW3","100","100",950,0,0,10368,"0",1440,0,0,1440
82,"2020-07-28","SAW1","0.05","100",5206,0,0,196,"1439.22",0,1439,0,1440
83,"2020-07-28","SAW2","93.3","100",3942,0,0,97819,"96.42",1343,96,0,1440
84,"2020-07-28","SAW3","100","100",800,0,0,10368,"0",1440,0,0,1440
85,"2020-07-29","SAW1","0.02","100",3000,0,0,58,"1439.77",0,1439,0,1440
86,"2020-07-29","SAW2","84.13","99.16",19071,161,0,686005,"260.25",1179,222,37,1440
87,"2020-07-29","SAW3","100","0",0,0,0,10368,"0",1440,0,0,1440
88,"2020-07-30","SAW1","0.01","100",1500,0,0,21,"1439.92",0,1439,0,1440
89,"2020-07-30","SAW2","81.5","100",8068,0,0,235582,"266.42",1173,266,0,1440
90,"2020-07-30","SAW3","74.02","100",1000,0,0,7674,"374.15",1065,374,0,1440
91,"2020-07-31","SAW1","54.18","0",0,232,0,195063,"659.75",780,659,0,1440
92,"2020-07-31","SAW2","84.29","96.62",3870,131,0,5183,"226.25",1213,226,0,1440
93,"2020-07-31","SAW3","100","0",0,0,0,10368,"0",1440,0,0,1440
94,"2020-08-01","SAW1","0.02","0",0,0,0,38,"1439.85",0,896,542,1440
95,"2020-08-01","SAW2","0","0",0,0,0,0,"1440",0,1440,0,1440
96,"2020-08-01","SAW3","65.35","0",0,0,0,3105,"1008.68",431,228,780,1440
97,"2020-08-02","SAW1","0.02","0",0,0,0,54,"1439.78",0,1439,0,1440
98,"2020-08-02","SAW2","88.79","96.86",3086,97,0,30877,"161.47",1278,161,0,1440
99,"2020-08-02","SAW3","100","0",0,0,0,0,"1440",0,0,1440,1440
100,"2020-08-03","SAW1","0.01","100",6000,0,0,21,"1439.92",0,1439,0,1440
101,"2020-08-03","SAW2","99.8","98.21",3752,67,0,50305,"2.92",1437,2,0,1440
102,"2020-08-03","SAW3","100","0",0,0,0,5771,"638.42",801,0,638,1440
103,"2020-08-04","SAW1","0.01","0",0,157,0,25,"1439.9",0,1439,0,1440
104,"2020-08-04","SAW2","87.28","99.16",8083,68,0,13935,"206.83",1233,179,27,1440
105,"2020-08-04","SAW3","100","0",0,0,0,10368,"0",1440,0,0,1440
106,"2020-08-05","SAW1","0","0",0,0,0,0,"1440",0,1440,0,1440
107,"2020-08-05","SAW2","79.98","99.13",10338,90,0,34618,"288.33",1151,288,0,1440
108,"2020-08-05","SAW3","100","0",0,4,0,10368,"0",1440,0,0,1440
109,"2020-08-06","SAW1","0.01","96",3500,140,0,21,"1439.92",0,1439,0,1440
110,"2020-08-06","SAW2","88.94","99.29",6726,48,0,32017,"159.32",1280,159,0,1440
111,"2020-08-06","SAW3","100","100",2398,0,0,10368,"0",1440,0,0,1440
112,"2020-08-07","SAW1","0.05","92.12",3770,297,0,163,"1439.35",0,1439,0,1440
113,"2020-08-07","SAW2","96.78","98.08",5900,113,0,104517,"46.43",1393,46,0,1440
114,"2020-08-07","SAW3","99.98","100",3157,0,0,10366,"0.33",1439,0,0,1440
115,"2020-08-08","SAW1","0.04","100",3730,0,0,21,"1439.48",0,1439,0,1440
116,"2020-08-08","SAW2","86.84","98.91",7321,80,0,16866,"233.7",1206,182,50,1440
117,"2020-08-08","SAW3","99.99","100",1400,0,0,9747,"0.17",1439,0,0,1440
118,"2020-08-09","SAW1","0.01","0",0,0,0,4,"1439.9",0,1172,267,1440
119,"2020-08-09","SAW2","93.95","97.62",11674,278,0,33822,"87.13",1352,87,0,1440
120,"2020-08-09","SAW3","100","96.69",1210,40,0,24000,"0",1440,0,0,1440
121,"2020-08-10","SAW1","0.36","97.81",4922,108,0,207,"1434.83",5,1434,0,1440
122,"2020-08-10","SAW2","85.22","98.02",11325,224,0,30678,"212.87",1227,212,0,1440
123,"2020-08-10","SAW3","99.97","99.43",4937,28,0,23966,"2.02",1437,0,1,1440
124,"2020-08-11","SAW1","1.07","99.54",3286,15,0,702,"1426",14,1295,130,1440
125,"2020-08-11","SAW2","99.76","89.91",2259,228,0,31029,"3.45",1436,3,0,1440
126,"2020-08-11","SAW3","100","98.91",3036,33,0,16862,"428.27",1011,0,428,1440
